Time,Amplitude
0,0
0.001,-9.79717439317883e-15
0.002,-1.95943487863577e-14
0.003,2.74518956812715e-14
0.004,-3.91886975727153e-14
0.005,7.85754689491389e-15
0.006,5.49037913625431e-14
0.007,1.01950035830172e-13
0.008,-7.83773951454306e-14
0.009,4.23416200208663e-13
0.01,1.57150937898278e-14
0.011,-3.91986012629007e-13
0.012,1.09807582725086e-13
0.013,1.56853827192715e-13
0.014,2.03900071660345e-13
0.015,-2.0380103475849e-13
0.016,-1.56754790290861e-13
0.017,-1.09708545823232e-13
0.018,8.46832400417325e-13
0.019,-1.56160568879736e-14
0.02,3.14301875796556e-14
0.021,7.84764320472847e-14
0.022,-7.83972025258014e-13
0.023,1.72568920982543e-13
0.024,2.19615165450172e-13
0.025,2.66661409917801e-13
0.026,3.13707654385431e-13
0.027,-5.48740802919868e-13
0.028,4.07800143320689e-13
0.029,4.54846387788318e-13
0.03,-4.07602069516981e-13
0.031,-3.60555825049352e-13
0.032,-3.13509580581722e-13
0.033,6.43031365658835e-13
0.034,-2.19417091646464e-13
0.035,7.37123854594093e-13
0.036,1.69366480083465e-12
0.037,-9.87773060016505e-13
0.038,-3.12321137759473e-14
0.039,-8.93680571081246e-13
0.04,6.28603751593111e-14
0.041,1.01940132139987e-12
0.042,1.56952864094569e-13
0.043,1.11349381033513e-12
0.044,-1.56794405051603e-12
0.045,-6.11403104275471e-13
0.046,3.45137841965086e-13
0.047,-5.17310615340213e-13
0.048,4.39230330900345e-13
0.049,-4.23218126404954e-13
0.05,5.33322819835603e-13
0.051,1.48986376607616e-12
0.052,6.27415308770861e-13
0.053,-2.35033148534438e-13
0.054,-1.09748160583974e-12
0.055,-1.40940659599179e-13
0.056,8.15600286641378e-13
0.057,-4.68481706639209e-14
0.058,9.09692775576636e-13
0.059,4.72443182713375e-14
0.06,-8.15204139033962e-13
0.061,1.41336807206596e-13
0.062,-7.21111650098703e-13
0.063,2.35429296141854e-13
0.064,-6.27019161163445e-13
0.065,3.29521785077113e-13
0.066,1.28606273131767e-12
0.067,2.24260367755823e-12
0.068,-4.38834183292928e-13
0.069,5.17706762947629e-13
0.07,1.47424770918819e-12
0.071,2.43078865542874e-12
0.072,3.3873296016693e-12
0.073,-2.93208706627357e-12
0.074,-1.97554612003301e-12
0.075,-1.01900517379245e-12
0.076,-6.24642275518946e-14
0.077,8.94076718688663e-13
0.078,-1.78736114216249e-12
0.079,-8.30820195921935e-13
0.08,1.25720750318622e-13
0.081,1.08226169655918e-12
0.082,2.03880264279974e-12
0.083,-6.42635218051418e-13
0.084,3.13905728189139e-13
0.085,1.2704466744297e-12
0.086,2.22698762067025e-12
0.087,3.18352856691081e-12
0.088,-3.13588810103206e-12
0.089,-2.1793471547915e-12
0.09,-1.22280620855094e-12
0.091,-2.66265262310385e-13
0.092,6.90275683930173e-13
0.093,-1.99116217692098e-12
0.094,-1.03462123068043e-12
0.095,-7.80802844398682e-14
0.096,8.78460661800689e-13
0.097,1.83500160804125e-12
0.098,-8.46436252809909e-13
0.099,1.10104693430649e-13
0.1,1.06664563967121e-12
0.101,2.02318658591176e-12
0.102,2.97972753215232e-12
0.103,2.98289671301165e-13
0.104,1.25483061754172e-12
0.105,-1.42660724330943e-12
0.106,-4.70066297068875e-13
0.107,4.86474649171682e-13
0.108,-2.19496321167947e-12
0.109,-1.23842226543892e-12
0.11,-2.81881319198359e-13
0.111,6.74659627042199e-13
0.112,1.63120057328276e-12
0.113,-1.0502372875684e-12
0.114,-9.36963413278418e-14
0.115,8.62844604912716e-13
0.116,1.81938555115327e-12
0.117,2.77592649739383e-12
0.118,9.44886365426749e-14
0.119,1.05102958278323e-12
0.12,-1.63040827806792e-12
0.121,-6.73867331827366e-13
0.122,2.82673614413192e-13
0.123,-2.39876424643796e-12
0.124,-1.44222330019741e-12
0.125,-4.85682353956849e-13
0.126,4.70858592283708e-13
0.127,1.42739953852427e-12
0.128,-1.25403832232689e-12
0.129,-2.97497376086332e-13
