Time,Amplitude
0,0
0.001,1.96042524765431e-14
0.002,3.92085049530861e-14
0.003,5.88127574296292e-14
0.004,7.84170099061723e-14
0.005,-1.56655753389007e-14
0.006,1.17625514859258e-13
0.007,2.35429296141854e-14
0.008,1.56834019812345e-13
0.009,2.90125110010504e-13
0.01,-3.13311506778014e-14
0.011,1.01959939520358e-13
0.012,2.35251029718517e-13
0.013,3.68542119916676e-13
0.014,4.70858592283708e-14
0.015,-2.74370401459934e-13
0.016,3.13668039624689e-13
0.017,4.46959129822848e-13
0.018,5.80250220021007e-13
0.019,-1.95953391553762e-13
0.02,-6.26623013556028e-14
0.021,7.06287888425563e-14
0.022,2.03919879040715e-13
0.023,3.37210969238874e-13
0.024,4.70502059437034e-13
0.025,6.03793149635193e-13
0.026,7.37084239833352e-13
0.027,-3.91193717414174e-14
0.028,9.41717184567417e-14
0.029,2.27462808654901e-13
0.03,-5.48740802919868e-13
0.031,-4.15449712721709e-13
0.032,6.27336079249378e-13
0.033,7.60627169447537e-13
0.034,8.93918259645696e-13
0.035,1.02720934984386e-12
0.036,1.16050044004201e-12
0.037,-5.25197873305683e-13
0.038,-3.91906783107524e-13
0.039,-2.58615692909365e-13
0.04,-1.25324602711206e-13
0.041,7.96648748695344e-15
0.042,1.41257577685113e-13
0.043,2.74548667883272e-13
0.044,4.07839758081431e-13
0.045,5.4113084827959e-13
0.046,6.74421938477749e-13
0.047,8.07713028675908e-13
0.048,9.41004118874067e-13
0.049,1.07429520907223e-12
0.05,1.20758629927039e-12
0.051,1.34087738946854e-12
0.052,1.4741684796667e-12
0.053,-2.11529833680994e-13
0.054,-7.82387434828348e-14
0.055,5.50523467153243e-14
0.056,1.88343436913483e-13
0.057,3.21634527111642e-13
0.058,4.54925617309802e-13
0.059,5.88216707507961e-13
0.06,-1.09748160583974e-12
0.061,-9.64190515641578e-13
0.062,-8.30899425443418e-13
0.063,1.1213810683006e-12
0.064,1.25467215849876e-12
0.065,1.38796324869692e-12
0.066,1.52125433889507e-12
0.067,1.65454542909323e-12
0.068,1.78783651929139e-12
0.069,1.92112760948955e-12
0.07,2.05441869968771e-12
0.071,2.18770978988587e-12
0.072,2.32100088008403e-12
0.073,6.35302566736331e-13
0.074,-1.05039574661137e-12
0.075,9.0188474713265e-13
0.076,-7.83813566215048e-13
0.077,1.16846692752897e-12
0.078,-5.17231385818729e-13
0.079,1.43504910792529e-12
0.08,-2.50649205422411e-13
0.081,1.7016312883216e-12
0.082,1.59329749739069e-14
0.083,1.96821346871792e-12
0.084,2.82515155370225e-13
0.085,2.23479564911424e-12
0.086,5.49097335766543e-13
0.087,2.50137782951056e-12
0.088,8.15679516162861e-13
0.089,-8.70018797184836e-13
0.09,1.08226169655918e-12
0.091,-6.03436616788518e-13
0.092,1.3488438769555e-12
0.093,-3.368544363922e-13
0.094,1.61542605735182e-12
0.095,-7.02722559958814e-14
0.096,1.88200823774813e-12
0.097,1.96309924400437e-13
0.098,2.14859041814445e-12
0.099,4.62892104796755e-13
0.1,2.41517259854077e-12
0.101,7.29474285193073e-13
0.102,2.68175477893709e-12
0.103,9.96056465589391e-13
0.104,2.94833695933341e-12
0.105,-2.375340161106e-12
0.106,-4.23059667361988e-13
0.107,1.52922082638203e-12
0.108,-1.5647748696567e-13
0.109,1.79580300677835e-12
0.11,1.10104693430649e-13
0.111,2.06238518717466e-12
0.112,3.76686873826967e-13
0.113,2.32896736757098e-12
0.114,6.43269054223285e-13
0.115,2.5955495479673e-12
0.116,9.09851234619603e-13
0.117,2.86213172836362e-12
0.118,1.17643341501592e-12
0.119,3.12871390875994e-12
0.12,-2.19496321167947e-12
0.121,-2.42682717935458e-13
0.122,-1.92838103128316e-12
0.123,2.38994624608603e-14
0.124,-1.66179885088684e-12
0.125,2.90481642857179e-13
0.126,2.24276213660119e-12
0.127,5.57063823253497e-13
0.128,2.50934431699751e-12
0.129,8.23646003649815e-13
0.13,2.77592649739383e-12
0.131,1.09022818404613e-12
0.132,3.04250867779015e-12
0.133,1.35681036444245e-12
0.134,3.30909085818647e-12
0.135,1.62339254483877e-12
0.136,3.57567303858279e-12
0.137,1.88997472523509e-12
0.138,3.8422552189791e-12
0.139,2.15655690563141e-12
0.14,4.10883739937542e-12
0.141,2.42313908602772e-12
0.142,4.37541957977174e-12
0.143,2.68972126642404e-12
0.144,4.64200176016806e-12
0.145,-6.81675360271353e-13
0.146,1.27060513347266e-12
0.147,-4.05307198696675e-12
0.148,-2.10079149322273e-12
0.149,-1.48510999478716e-13
0.15,1.8037694942653e-12
0.151,-3.51990762617411e-12
0.152,-1.5676271324301e-12
0.153,3.8465336131392e-13
0.154,2.33693385505794e-12
0.155,-2.98674326538147e-12
0.156,-1.03446277163746e-12
0.157,9.17817722106557e-13
0.158,2.87009821585057e-12
0.159,-2.45357890458884e-12
0.16,-5.01298410844823e-13
0.161,1.45098208289919e-12
0.162,3.40326257664321e-12
0.163,5.35554307038722e-12
0.164,3.18659499478138e-14
0.165,1.98414644369183e-12
0.166,3.93642693743584e-12
0.167,5.88870743117986e-12
0.168,5.6503031074045e-13
0.169,2.51731080448447e-12
0.17,4.46959129822848e-12
0.171,6.4218717919725e-12
0.172,1.09819467153309e-12
0.173,3.0504751652771e-12
0.174,5.00275565902112e-12
0.175,6.95503615276513e-12
0.176,1.63135903232572e-12
0.177,-3.69231808811369e-12
0.178,-1.74003759436967e-12
0.179,2.12242899374344e-13
0.18,2.16452339311836e-12
0.181,-3.15915372732105e-12
0.182,-1.20687323357704e-12
0.183,7.4540726016698e-13
0.184,2.697687753911e-12
0.185,-2.62598936652841e-12
0.186,-6.73708872784399e-13
0.187,1.27857162095962e-12
0.188,3.23085211470363e-12
0.189,-2.09282500573578e-12
0.19,-1.40544511991763e-13
0.191,1.81173598175225e-12
0.192,3.76401647549627e-12
0.193,-1.55966064494314e-12
0.194,3.92619848800874e-13
0.195,2.34490034254489e-12
0.196,4.2971808362889e-12
0.197,-1.02649628415051e-12
0.198,9.2578420959351e-13
0.199,2.87806470333753e-12
0.2,4.83034519708154e-12
0.201,6.78262569082556e-12
0.202,1.45894857038615e-12
0.203,3.41122906413016e-12
0.204,5.36350955787418e-12
0.205,7.31579005161819e-12
0.206,1.99211293117878e-12
0.207,3.9443934249228e-12
0.208,5.89667391866681e-12
0.209,5.72996798227404e-13
0.21,-4.75068032221201e-12
0.211,-2.79839982846799e-12
0.212,-8.46119334723976e-13
0.213,1.10616115902004e-12
0.214,3.05844165276406e-12
0.215,-2.26523546767535e-12
0.216,-3.12954973931339e-13
0.217,1.63932551981268e-12
0.218,3.59160601355669e-12
0.219,-1.73207110688272e-12
0.22,2.20209386861297e-13
0.221,2.17248988060531e-12
0.222,4.12477037434933e-12
