Time,Amplitude
0,0
0.001,-7.83773951454306e-15
0.002,-1.56754790290861e-14
0.003,-2.35132185436292e-14
0.004,-3.13509580581722e-14
0.005,-3.91886975727153e-14
0.006,-4.70264370872584e-14
0.007,-5.48641766018014e-14
0.008,-6.27019161163445e-14
0.009,-7.05396556308875e-14
0.01,-7.83773951454306e-14
0.011,-3.13588810103206e-13
0.012,-9.40528741745167e-14
0.013,1.25483061754172e-13
0.014,-1.09728353203603e-13
0.015,-3.44939768161378e-13
0.016,-1.25403832232689e-13
0.017,9.4132103696e-14
0.018,-1.41079311261775e-13
0.019,-3.7629072621955e-13
0.02,-1.56754790290861e-13
0.021,6.27811456378278e-14
0.022,-6.27177620206411e-13
0.023,-4.07641684277722e-13
0.024,-1.88105748349033e-13
0.025,3.14301875796556e-14
0.026,2.50966123508345e-13
0.027,-4.38992642335895e-13
0.028,-2.19456706407206e-13
0.029,7.92295214833098e-17
0.03,-6.89879536322756e-13
0.031,-4.70343600394067e-13
0.032,-2.50807664465378e-13
0.033,-3.12717285366889e-14
0.034,1.88264207392e-13
0.035,-5.01694558452239e-13
0.036,-2.8215862252355e-13
0.037,-9.72117388367789e-13
0.038,-7.525814524391e-13
0.039,-5.33045516510411e-13
0.04,-3.13509580581722e-13
0.041,-1.00346834642596e-12
0.042,1.25562291275656e-13
0.043,-5.64396474568584e-13
0.044,-1.25435524041282e-12
0.045,-1.94431400625706e-12
0.046,-8.15283368555445e-13
0.047,-1.50524213439968e-12
0.048,-3.76211496698067e-13
0.049,-1.06617026254231e-12
0.05,6.28603751593111e-14
0.051,-6.27098390684928e-13
0.052,5.01932247016689e-13
0.053,-2.00701592237341e-12
0.054,-8.77985284671789e-13
0.055,-1.56794405051603e-12
0.056,-4.38913412814411e-13
0.057,-1.12887217865865e-12
0.058,1.5845904296662e-16
0.059,-6.89800306801273e-13
0.06,-1.37975907264551e-12
0.061,-2.06971783848975e-12
0.062,-9.40687200788134e-13
0.063,-1.63064596663237e-12
0.064,-5.01615328930756e-13
0.065,-1.191574094775e-12
0.066,-6.25434570733779e-14
0.067,-7.52502222917617e-13
0.068,3.76528414784e-13
0.069,-3.13430351060239e-13
0.07,-1.00338911690448e-12
0.071,1.25641520797139e-13
0.072,-5.643172450471e-13
0.073,-3.0732654144372e-12
0.074,-1.94423477673558e-12
0.075,-2.63419354257982e-12
0.076,-1.5051629048782e-12
0.077,-2.19512167072244e-12
0.078,-1.06609103302082e-12
0.079,-1.75604979886506e-12
0.08,-6.27019161163445e-13
0.081,-1.31697792700768e-12
0.082,-2.00693669285192e-12
0.083,9.41083348395551e-13
0.084,2.51124582551311e-13
0.085,-4.38834183292928e-13
0.086,-1.12879294913717e-12
0.087,-1.81875171498141e-12
0.088,-2.50871048082565e-12
0.089,-3.19866924666988e-12
0.09,-3.88862801251412e-12
0.091,-9.40607971266651e-13
0.092,-1.63056673711089e-12
0.093,-2.32052550295513e-12
0.094,-3.01048426879937e-12
0.095,-6.24642275518946e-14
