Time,Amplitude
0,0
0.001,-6.85802207522518e-15
0.002,-1.37160441504504e-14
0.003,7.84764320472847e-15
0.004,-2.74320883009007e-14
0.005,-6.27118198065299e-14
0.006,1.56952864094569e-14
0.007,-1.33271282817788e-13
0.008,-5.48641766018014e-14
0.009,2.35429296141854e-14
0.01,-1.2542363961306e-13
0.011,-2.74390208840305e-13
0.012,3.13905728189139e-14
0.013,-1.17575996408331e-13
0.014,-2.66542565635577e-13
0.015,-4.15509134862822e-13
0.016,-1.09728353203603e-13
0.017,1.96052428455616e-13
0.018,4.70858592283708e-14
0.019,-5.56628060885339e-13
0.02,-2.5084727922612e-13
0.021,5.49335024330993e-14
0.022,-5.4878041768061e-13
0.023,-2.42999636021391e-13
0.024,6.27811456378278e-14
0.025,-5.40932774475882e-13
0.026,-2.35151992816663e-13
0.027,-8.38865912930372e-13
0.028,-5.33085131271153e-13
0.029,-2.27304349611934e-13
0.03,-8.31018269725644e-13
0.031,-5.25237488066425e-13
0.032,-2.19456706407206e-13
0.033,8.63240752520132e-14
0.034,3.92104856911232e-13
0.035,-2.11609063202477e-13
0.036,9.41717184567417e-14
0.037,-5.09542201656968e-13
0.038,-1.11325612177068e-12
0.039,-8.07475340111458e-13
0.04,-5.01694558452239e-13
0.041,-1.9591377679302e-13
0.042,1.09867004866199e-13
0.043,4.15647786525418e-13
0.044,-1.09756083536122e-12
0.045,-7.91780053702001e-13
0.046,-4.85999272042782e-13
0.047,-1.80218490383563e-13
0.048,1.25562291275656e-13
0.049,4.31343072934874e-13
0.05,-1.08186554895176e-12
0.051,-7.76084767292544e-13
0.052,-4.70303985633325e-13
0.053,-1.64523203974106e-13
0.054,-1.67773182586074e-12
0.055,-1.37195104420153e-12
0.056,-1.06617026254231e-12
0.057,-7.60389480883087e-13
0.058,-4.54608699223868e-13
0.059,-1.48827917564649e-13
0.06,-1.66203653945129e-12
0.061,-1.35625575779207e-12
0.062,-1.05047497613285e-12
0.063,-7.4469419447363e-13
0.064,-4.38913412814411e-13
0.065,-1.33132631155192e-13
0.066,1.72648150504026e-13
0.067,4.78428932163245e-13
0.068,7.84209713822464e-13
0.069,-7.28998908064173e-13
0.07,-4.23218126404954e-13
0.071,-1.17437344745736e-13
0.072,1.88343436913483e-13
