Time,Amplitude
0,0
0.001,-4.89858719658941e-15
0.002,-9.79717439317883e-15
0.003,1.37259478406358e-14
0.004,-1.95943487863577e-14
0.005,3.92877344745694e-15
0.006,2.74518956812715e-14
0.007,5.09750179150861e-14
0.008,-3.91886975727153e-14
0.009,2.11708100104331e-13
0.01,7.85754689491389e-15
0.011,-1.95993006314504e-13
0.012,5.49037913625431e-14
0.013,7.84269135963577e-14
0.014,1.01950035830172e-13
0.015,-1.01900517379245e-13
0.016,-7.83773951454306e-14
0.017,-5.4854272911616e-14
0.018,4.23416200208663e-13
0.019,-7.80802844398682e-15
0.02,1.57150937898278e-14
0.021,3.92382160236424e-14
0.022,-3.91986012629007e-13
0.023,8.62844604912716e-14
0.024,1.09807582725086e-13
0.025,1.33330704958901e-13
0.026,1.56853827192715e-13
0.027,-2.74370401459934e-13
0.028,2.03900071660345e-13
0.029,2.27423193894159e-13
0.03,-2.0380103475849e-13
0.031,-1.80277912524676e-13
0.032,-1.56754790290861e-13
0.033,3.21515682829418e-13
0.034,-1.09708545823232e-13
0.035,3.68561927297047e-13
0.036,8.46832400417325e-13
0.037,-4.93886530008252e-13
0.038,-1.56160568879736e-14
0.039,-4.46840285540623e-13
0.04,3.14301875796556e-14
0.041,5.09700660699934e-13
0.042,7.84764320472847e-14
0.043,5.56746905167563e-13
0.044,-7.83972025258014e-13
0.045,-3.05701552137736e-13
0.046,1.72568920982543e-13
0.047,-2.58655307670106e-13
0.048,2.19615165450172e-13
0.049,-2.11609063202477e-13
0.05,2.66661409917801e-13
0.051,7.4493188303808e-13
0.052,3.13707654385431e-13
0.053,-1.17516574267219e-13
0.054,-5.48740802919868e-13
0.055,-7.04703297995897e-14
0.056,4.07800143320689e-13
0.057,-2.34240853319605e-14
0.058,4.54846387788318e-13
0.059,2.36221591356687e-14
0.06,-4.07602069516981e-13
0.061,7.06684036032979e-14
0.062,-3.60555825049352e-13
0.063,1.17714648070927e-13
0.064,-3.13509580581722e-13
0.065,1.64760892538556e-13
0.066,6.43031365658835e-13
0.067,1.12130183877911e-12
0.068,-2.19417091646464e-13
0.069,2.58853381473815e-13
0.07,7.37123854594093e-13
0.071,1.21539432771437e-12
0.072,1.69366480083465e-12
0.073,-1.46604353313678e-12
0.074,-9.87773060016505e-13
0.075,-5.09502586896226e-13
0.076,-3.12321137759473e-14
0.077,4.47038359344331e-13
0.078,-8.93680571081246e-13
0.079,-4.15410097960968e-13
0.08,6.28603751593111e-14
0.081,5.4113084827959e-13
0.082,1.01940132139987e-12
0.083,-3.21317609025709e-13
0.084,1.56952864094569e-13
0.085,6.35223337214848e-13
0.086,1.11349381033513e-12
0.087,1.59176428345541e-12
0.088,-1.56794405051603e-12
0.089,-1.08967357739575e-12
0.09,-6.11403104275471e-13
0.091,-1.33132631155192e-13
0.092,3.45137841965086e-13
0.093,-9.95581088460491e-13
0.094,-5.17310615340213e-13
0.095,-3.90401422199341e-14
0.096,4.39230330900345e-13
0.097,9.17500804020623e-13
0.098,-4.23218126404954e-13
0.099,5.50523467153243e-14
0.1,5.33322819835603e-13
0.101,1.01159329295588e-12
0.102,1.48986376607616e-12
0.103,1.49144835650583e-13
0.104,6.27415308770861e-13
0.105,-7.13303621654716e-13
0.106,-2.35033148534438e-13
0.107,2.43237324585841e-13
0.108,-1.09748160583974e-12
0.109,-6.19211132719458e-13
0.11,-1.40940659599179e-13
0.111,3.37329813521099e-13
0.112,8.15600286641378e-13
0.113,-5.251186437842e-13
0.114,-4.68481706639209e-14
0.115,4.31422302456358e-13
0.116,9.09692775576636e-13
0.117,1.38796324869692e-12
0.118,4.72443182713375e-14
0.119,5.25514791391616e-13
0.12,-8.15204139033962e-13
0.121,-3.36933665913683e-13
0.122,1.41336807206596e-13
0.123,-1.19938212321898e-12
0.124,-7.21111650098703e-13
0.125,-2.42841176978425e-13
0.126,2.35429296141854e-13
0.127,7.13699769262133e-13
0.128,-6.27019161163445e-13
0.129,-1.48748688043166e-13
0.13,3.29521785077113e-13
0.131,-1.01119714534847e-12
0.132,1.28606273131767e-12
0.133,-5.46561991079077e-14
0.134,2.24260367755823e-12
0.135,9.0188474713265e-13
0.136,-4.38834183292928e-13
0.137,1.85842569337321e-12
0.138,5.17706762947629e-13
0.139,2.81496663961376e-12
0.14,1.47424770918819e-12
0.141,1.33528778762609e-13
0.142,2.43078865542874e-12
0.143,1.09006972500317e-12
0.144,3.3873296016693e-12
0.145,-1.59136813584799e-12
0.146,-2.93208706627357e-12
0.147,-6.34827189607432e-13
0.148,-1.97554612003301e-12
0.149,3.21713756633126e-13
0.15,-1.01900517379245e-12
0.151,-2.35972410421803e-12
0.152,-6.24642275518946e-14
0.153,-1.40318315797747e-12
0.154,8.94076718688663e-13
0.155,-4.46642211736915e-13
0.156,-1.78736114216249e-12
0.157,5.09898734503642e-13
0.158,-8.30820195921935e-13
0.159,1.4664396807442e-12
0.16,1.25720750318622e-13
0.161,-1.21499818010696e-12
0.162,1.08226169655918e-12
0.163,-2.58457233866398e-13
0.164,2.03880264279974e-12
0.165,6.98083712374159e-13
0.166,-6.42635218051418e-13
0.167,1.65462465861472e-12
0.168,3.13905728189139e-13
0.169,2.61116560485527e-12
0.17,1.2704466744297e-12
0.171,-7.02722559958814e-14
0.172,2.22698762067025e-12
0.173,8.86268690244676e-13
0.174,3.18352856691081e-12
0.175,1.84280963648523e-12
0.176,-3.13588810103206e-12
0.177,-8.38628224365922e-13
0.178,-2.1793471547915e-12
0.179,1.17912721874635e-13
0.18,-1.22280620855094e-12
0.181,-2.56352513897652e-12
0.182,-2.66265262310385e-13
0.183,-1.60698419273596e-12
0.184,6.90275683930173e-13
0.185,-6.50443246495405e-13
0.186,-1.99116217692098e-12
0.187,3.06097699745152e-13
0.188,-1.03462123068043e-12
0.189,1.26263864598571e-12
0.19,-7.80802844398682e-14
0.191,-1.41879921486545e-12
0.192,8.78460661800689e-13
0.193,-4.62258268624889e-13
0.194,1.83500160804125e-12
0.195,4.94282677615669e-13
0.196,-8.46436252809909e-13
0.197,1.45082362385623e-12
0.198,1.10104693430649e-13
0.199,2.40736457009678e-12
0.2,1.06664563967121e-12
0.201,-2.74073290754372e-13
0.202,2.02318658591176e-12
0.203,6.82467655486186e-13
0.204,2.97972753215232e-12
0.205,1.63900860172674e-12
0.206,2.98289671301165e-13
0.207,2.5955495479673e-12
0.208,1.25483061754172e-12
0.209,-8.5888312883855e-14
0.21,-1.42660724330943e-12
0.211,-2.76732617373501e-12
0.212,-4.70066297068875e-13
0.213,-1.81078522749445e-12
0.214,4.86474649171682e-13
0.215,-8.54244281253896e-13
0.216,-2.19496321167947e-12
0.217,1.02296664986662e-13
0.218,-1.23842226543892e-12
0.219,1.05883761122722e-12
0.22,-2.81881319198359e-13
0.221,-1.62260024962394e-12
0.222,6.74659627042199e-13
0.223,-6.66059303383379e-13
0.224,1.63120057328276e-12
0.225,2.90481642857179e-13
0.226,-1.0502372875684e-12
0.227,1.24702258909774e-12
0.228,-9.36963413278418e-14
0.229,2.20356353533829e-12
0.23,8.62844604912716e-13
0.231,-4.77874325512862e-13
0.232,1.81938555115327e-12
0.233,4.78666620727695e-13
0.234,2.77592649739383e-12
0.235,1.43520756696825e-12
0.236,9.44886365426749e-14
0.237,2.39174851320881e-12
0.238,1.05102958278323e-12
0.239,3.34828945944937e-12
0.24,-1.63040827806792e-12
0.241,-2.9711272084935e-12
0.242,-6.73867331827366e-13
0.243,-2.01458626225294e-12
0.244,2.82673614413192e-13
0.245,-1.05804531601239e-12
0.246,-2.39876424643796e-12
0.247,-1.01504369771829e-13
0.248,-1.44222330019741e-12
0.249,8.55036576468729e-13
0.25,-4.85682353956849e-13
0.251,-1.82640128438243e-12
0.252,4.70858592283708e-13
0.253,-8.69860338141869e-13
0.254,1.42739953852427e-12
0.255,8.66806080986881e-14
0.256,-1.25403832232689e-12
0.257,1.04322155433925e-12
0.258,-2.97497376086332e-13
0.259,1.9997625005798e-12
0.26,6.59043570154225e-13
0.261,-6.81675360271353e-13
0.262,-2.02239429069693e-12
0.263,3.91284439306092e-12
0.264,2.57212546263534e-12
0.265,1.23140653220976e-12
0.266,-1.09312398215815e-13
0.267,-1.45003132864139e-12
0.268,4.48520735511646e-12
0.269,3.14448842469088e-12
0.27,1.8037694942653e-12
0.271,4.63050563839722e-13
0.272,-8.77668366585856e-13
0.273,5.05757031717199e-12
0.274,3.71685138674641e-12
0.275,2.37613245632084e-12
0.276,1.03541352589526e-12
0.277,-3.05305404530319e-13
0.278,5.62993327922753e-12
0.279,4.28921434880195e-12
0.28,2.94849541837637e-12
0.281,1.6077764879508e-12
0.282,2.67057557525218e-13
0.283,6.20229624128307e-12
0.284,4.86157731085749e-12
0.285,3.52085838043191e-12
0.286,2.18013945000633e-12
0.287,8.39420519580755e-13
0.288,6.7746592033386e-12
0.289,5.43394027291303e-12
0.29,4.09322134248745e-12
0.291,2.75250241206187e-12
0.292,-5.86417413254713e-12
0.293,7.10645512107145e-14
0.294,-1.26965437921486e-12
0.295,-2.61037330964044e-12
0.296,-3.95109224006602e-12
0.297,-5.2918111704916e-12
0.298,6.43427513266252e-13
0.299,-6.97291417159326e-13
0.3,-2.0380103475849e-12
0.301,-3.37872927801048e-12
0.302,-4.71944820843606e-12
0.303,1.21579047532179e-12
0.304,-1.24928455103789e-13
0.305,-1.46564738552937e-12
0.306,-2.80636631595494e-12
0.307,-4.14708524638052e-12
0.308,1.78815343737733e-12
0.309,4.47434506951748e-13
0.31,-8.9328442347383e-13
0.311,-2.23400335389941e-12
0.312,-3.57472228432499e-12
0.313,2.36051639943286e-12
0.314,1.01979746900728e-12
0.315,-3.20921461418293e-13
0.316,-1.66164039184387e-12
0.317,-3.00235932226945e-12
0.318,2.9328793614884e-12
0.319,1.59216043106282e-12
0.32,2.51441500637244e-13
0.321,-1.08927742978833e-12
0.322,-2.42999636021391e-12
0.323,3.50524232354394e-12
0.324,2.16452339311836e-12
0.325,-6.45215315149064e-12
0.326,-7.79287208191622e-12
0.327,-9.1335910123418e-12
0.328,-3.19835232858395e-12
0.329,-4.53907125900953e-12
0.33,-5.87979018943511e-12
0.331,-7.22050911986069e-12
0.332,-8.56122805028626e-12
0.333,-2.62598936652841e-12
0.334,-3.96670829695399e-12
0.335,-5.30742722737957e-12
0.336,-6.64814615780515e-12
0.337,-7.98886508823073e-12
0.338,-2.05362640447288e-12
0.339,-3.39434533489846e-12
0.34,-4.73506426532403e-12
0.341,-6.07578319574961e-12
0.342,-7.41650212617519e-12
0.343,-1.48126344241734e-12
0.344,-2.82198237284292e-12
0.345,-4.1627013032685e-12
0.346,-5.50342023369407e-12
0.347,-6.84413916411965e-12
0.348,-9.08900480361803e-13
0.349,-2.24961941078738e-12
0.35,-3.59033834121296e-12
0.351,-4.93105727163854e-12
0.352,-6.27177620206411e-12
0.353,-3.36537518306266e-13
0.354,-1.67725644873184e-12
0.355,-3.01797537915742e-12
