Time,Amplitude
0,0
0.001,-3.91986012629007e-14
0.002,-7.83972025258014e-14
0.003,-1.17595803788702e-13
0.004,-1.56794405051603e-13
0.005,-1.95993006314504e-13
0.006,-2.35191607577404e-13
0.007,-2.74390208840305e-13
0.008,-3.13588810103206e-13
0.009,1.01959939520358e-13
0.01,-3.91986012629007e-13
0.011,-4.31184613891908e-13
0.012,-4.70383215154809e-13
0.013,-5.48344655312452e-14
0.014,-5.4878041768061e-13
0.015,-5.87979018943511e-13
0.016,-6.27177620206411e-13
0.017,-6.66376221469312e-13
0.018,2.03919879040715e-13
0.019,-7.44773423995114e-13
0.02,-7.83972025258014e-13
0.021,-8.23170626520915e-13
0.022,-8.62369227783816e-13
0.023,-9.01567829046716e-13
0.024,-9.40766430309617e-13
0.025,-9.79965031572518e-13
0.026,-1.0966893106249e-13
0.027,-1.05836223409832e-12
0.028,-1.09756083536122e-12
0.029,-1.13675943662412e-12
0.03,-1.17595803788702e-12
0.031,-1.21515663914992e-12
0.032,-1.25435524041282e-12
0.033,-1.29355384167572e-12
0.034,-1.33275244293862e-12
0.035,4.47038359344331e-13
0.036,4.07839758081431e-13
0.037,-1.45034824672733e-12
0.038,-1.48954684799023e-12
0.039,-1.52874544925313e-12
0.04,-1.56794405051603e-12
0.041,-1.60714265177893e-12
0.042,-1.64634125304183e-12
0.043,1.33449549241126e-13
0.044,-1.72473845556763e-12
0.045,-1.76393705683053e-12
0.046,-1.80313565809343e-12
0.047,-1.84233425935633e-12
0.048,-1.88153286061923e-12
0.049,-1.92073146188213e-12
0.05,-1.95993006314504e-12
0.051,-1.8013926086208e-13
0.052,-2.19337862124981e-13
0.053,-2.07752586693374e-12
0.054,-2.11672446819664e-12
0.055,-2.15592306945954e-12
0.056,-2.19512167072244e-12
0.057,-2.23432027198534e-12
0.058,-2.27351887324824e-12
0.059,-4.93728070965286e-13
0.06,-2.35191607577404e-12
0.061,-2.39111467703694e-12
0.062,-2.43031327829984e-12
0.063,-2.46951187956275e-12
0.064,-2.50871048082565e-12
0.065,-2.54790908208855e-12
0.066,-2.58710768335145e-12
0.067,-2.62630628461435e-12
0.068,-2.66550488587725e-12
0.069,-2.70470348714015e-12
0.07,8.94076718688663e-13
0.071,8.54878117425762e-13
0.072,8.15679516162861e-13
0.073,-2.86149789219175e-12
0.074,-2.90069649345465e-12
0.075,-2.93989509471755e-12
0.076,-2.97909369598045e-12
0.077,-3.01829229724335e-12
0.078,-3.05749089850626e-12
0.079,-3.09668949976916e-12
0.08,-3.13588810103206e-12
0.081,-3.17508670229496e-12
0.082,-3.21428530355786e-12
0.083,-3.25348390482076e-12
0.084,-3.29268250608366e-12
0.085,-3.33188110734656e-12
0.086,2.66899098482251e-13
0.087,2.27700497219351e-13
0.088,-3.44947691113526e-12
0.089,-3.48867551239816e-12
0.09,-3.52787411366106e-12
0.091,-3.56707271492397e-12
0.092,-3.60627131618687e-12
0.093,-3.64546991744977e-12
0.094,-3.68466851871267e-12
0.095,-3.72386711997557e-12
0.096,-3.76306572123847e-12
0.097,-3.80226432250137e-12
0.098,-3.84146292376427e-12
0.099,-3.88066152502717e-12
0.1,-3.91986012629007e-12
0.101,-3.95905872755297e-12
0.102,-3.6027852172416e-13
0.103,-3.99477122987061e-13
0.104,-4.38675724249961e-13
0.105,-4.11585313260457e-12
0.106,-4.15505173386748e-12
0.107,-4.19425033513038e-12
0.108,-4.23344893639328e-12
0.109,-4.27264753765618e-12
0.11,-4.31184613891908e-12
0.111,-4.35104474018198e-12
0.112,-4.39024334144488e-12
0.113,-4.42944194270778e-12
0.114,-4.46864054397068e-12
0.115,-4.50783914523358e-12
0.116,-4.54703774649648e-12
0.117,-9.48257540667671e-13
0.118,-9.87456141930572e-13
0.119,-4.66463355028519e-12
0.12,-4.70383215154809e-12
0.121,-4.74303075281099e-12
0.122,-4.78222935407389e-12
0.123,-4.82142795533679e-12
0.124,-4.86062655659969e-12
0.125,-4.89982515786259e-12
0.126,-4.93902375912549e-12
0.127,-4.97822236038839e-12
0.128,-5.01742096165129e-12
0.129,-5.05661956291419e-12
0.13,-5.09581816417709e-12
0.131,-5.13501676543999e-12
0.132,-5.17421536670289e-12
0.133,-5.2134139679658e-12
0.134,-5.2526125692287e-12
0.135,-5.2918111704916e-12
0.136,-5.3310097717545e-12
0.137,-5.3702083730174e-12
0.138,-5.4094069742803e-12
0.139,-5.4486055755432e-12
0.14,1.78815343737733e-12
0.141,1.74895483611443e-12
0.142,1.70975623485152e-12
0.143,1.67055763358862e-12
0.144,1.63135903232572e-12
0.145,-5.6837971831206e-12
0.146,-5.7229957843835e-12
0.147,-5.7621943856464e-12
0.148,-5.80139298690931e-12
0.149,-5.84059158817221e-12
0.15,-5.87979018943511e-12
0.151,-5.91898879069801e-12
0.152,-5.95818739196091e-12
0.153,-5.99738599322381e-12
0.154,-6.03658459448671e-12
0.155,-6.07578319574961e-12
0.156,-6.11498179701251e-12
0.157,-6.15418039827541e-12
0.158,-6.19337899953831e-12
0.159,-6.23257760080121e-12
0.16,-6.27177620206411e-12
0.161,-6.31097480332701e-12
0.162,-6.35017340458992e-12
0.163,-6.38937200585282e-12
0.164,-6.42857060711572e-12
0.165,-6.46776920837862e-12
0.166,-6.50696780964152e-12
0.167,-6.54616641090442e-12
0.168,-6.58536501216732e-12
0.169,-6.62456361343022e-12
0.17,-6.66376221469312e-12
0.171,-6.70296081595602e-12
0.172,5.33798196964503e-13
0.173,4.94599595701602e-13
0.174,4.55400994438701e-13
0.175,4.16202393175801e-13
0.176,-6.89895382227053e-12
0.177,-6.93815242353343e-12
0.178,-6.97735102479633e-12
0.179,-7.01654962605923e-12
0.18,-7.05574822732213e-12
0.181,-7.09494682858503e-12
0.182,-7.13414542984793e-12
0.183,-7.17334403111083e-12
0.184,-7.21254263237373e-12
0.185,-7.25174123363663e-12
0.186,-7.29093983489953e-12
0.187,-7.33013843616243e-12
0.188,-7.36933703742533e-12
0.189,-7.40853563868824e-12
0.19,-7.44773423995114e-12
0.191,-7.48693284121404e-12
0.192,-7.52613144247694e-12
0.193,-7.56533004373984e-12
0.194,-7.60452864500274e-12
0.195,-7.64372724626564e-12
0.196,-7.68292584752854e-12
0.197,-7.72212444879144e-12
0.198,-7.76132305005434e-12
0.199,-7.80052165131724e-12
0.2,-7.83972025258014e-12
0.201,-7.87891885384304e-12
0.202,-7.91811745510594e-12
0.203,-6.81358442185419e-13
0.204,-7.2055704344832e-13
0.205,-7.59755644711221e-13
0.206,-7.98954245974121e-13
0.207,-8.38152847237022e-13
0.208,-8.77351448499923e-13
0.209,-8.19250766394625e-12
0.21,-8.23170626520915e-12
0.211,-8.27090486647205e-12
0.212,-8.31010346773495e-12
0.213,-8.34930206899785e-12
0.214,-8.38850067026075e-12
0.215,-8.42769927152365e-12
0.216,-8.46689787278655e-12
0.217,-8.50609647404946e-12
0.218,-8.54529507531236e-12
0.219,-8.58449367657526e-12
0.22,-8.62369227783816e-12
0.221,-8.66289087910106e-12
0.222,-8.70208948036396e-12
0.223,-8.74128808162686e-12
0.224,-8.78048668288976e-12
0.225,-8.81968528415266e-12
0.226,-8.85888388541556e-12
0.227,-8.89808248667846e-12
0.228,-8.93728108794136e-12
0.229,-8.97647968920426e-12
0.23,-9.01567829046716e-12
0.231,-9.05487689173007e-12
0.232,-9.09407549299297e-12
0.233,-9.13327409425587e-12
0.234,-1.89651508133534e-12
0.235,-1.93571368259824e-12
0.236,-1.97491228386114e-12
0.237,-2.01411088512404e-12
0.238,-9.32926710057037e-12
0.239,-9.36846570183327e-12
0.24,-9.40766430309617e-12
0.241,-9.44686290435907e-12
0.242,-9.48606150562197e-12
0.243,-9.52526010688487e-12
0.244,-9.56445870814777e-12
0.245,-9.60365730941067e-12
0.246,-9.64285591067358e-12
0.247,-9.68205451193648e-12
0.248,-9.72125311319938e-12
0.249,-9.76045171446228e-12
0.25,-9.79965031572518e-12
0.251,-9.83884891698808e-12
0.252,-9.87804751825098e-12
0.253,-9.91724611951388e-12
0.254,-9.95644472077678e-12
0.255,-9.99564332203968e-12
0.256,-1.00348419233026e-11
0.257,-1.00740405245655e-11
0.258,-1.01132391258284e-11
0.259,-1.01524377270913e-11
0.26,-1.01916363283542e-11
0.261,-1.02308349296171e-11
0.262,-1.027003353088e-11
0.263,-1.03092321321429e-11
0.264,-1.03484307334058e-11
0.265,-1.03876293346687e-11
0.266,-1.04268279359316e-11
0.267,-1.04660265371945e-11
0.268,-1.05052251384574e-11
0.269,-1.05444237397203e-11
0.27,-1.05836223409832e-11
0.271,-1.06228209422461e-11
0.272,-1.0662019543509e-11
0.273,-1.07012181447719e-11
0.274,-1.07404167460348e-11
0.275,-1.07796153472977e-11
0.276,-1.08188139485606e-11
0.277,-1.08580125498235e-11
0.278,-1.08972111510864e-11
0.279,-1.09364097523493e-11
0.28,3.57630687475465e-12
0.281,3.53710827349175e-12
0.282,3.49790967222885e-12
0.283,3.45871107096595e-12
0.284,3.41951246970305e-12
0.285,3.38031386844015e-12
0.286,3.34111526717725e-12
0.287,3.30191666591435e-12
0.288,3.26271806465145e-12
0.289,3.22351946338855e-12
0.29,3.18432086212564e-12
0.291,3.14512226086274e-12
0.292,-1.1445991568767e-11
0.293,-1.14851901700299e-11
0.294,-1.15243887712928e-11
0.295,-1.15635873725557e-11
0.296,-1.16027859738186e-11
0.297,-1.16419845750815e-11
0.298,-1.16811831763444e-11
0.299,-1.17203817776073e-11
0.3,-1.17595803788702e-11
0.301,-1.17987789801331e-11
0.302,-1.1837977581396e-11
0.303,-1.18771761826589e-11
0.304,-1.19163747839218e-11
0.305,-1.19555733851847e-11
0.306,-1.19947719864476e-11
0.307,-1.20339705877105e-11
0.308,-1.20731691889734e-11
0.309,-1.21123677902363e-11
0.31,-1.21515663914992e-11
0.311,-1.21907649927621e-11
0.312,-1.2229963594025e-11
0.313,-1.22691621952879e-11
0.314,-1.23083607965508e-11
0.315,-1.23475593978137e-11
0.316,-1.23867579990766e-11
0.317,-1.24259566003395e-11
0.318,-1.24651552016024e-11
0.319,-1.25043538028653e-11
0.32,-1.25435524041282e-11
0.321,-1.25827510053911e-11
0.322,-1.2621949606654e-11
0.323,-1.26611482079169e-11
0.324,-1.27003468091798e-11
0.325,-2.72914606388096e-11
0.326,-2.73306592400725e-11
0.327,-2.73698578413354e-11
0.328,-2.74090564425983e-11
0.329,-2.74482550438612e-11
0.33,-2.74874536451241e-11
0.331,-2.7526652246387e-11
0.332,-2.75658508476499e-11
